Post Date,Post Subtype,Post Type,Number Of Comments,Number Of Likes,Number Of Posts
1/1/2023,Text Post,Text Post,4,5,5
1/1/2023,Level,Visual,0,2,89
1/1/2023,Goal,Visual,0,29,61
1/1/2023,Streak,Visual,0,6,30
1/1/2023,Collection,Visual,0,1,40
1/1/2023,Course Certificate,Visual,0,7,39
1/2/2023,Text Post,Text Post,1,1,1
1/2/2023,Level,Visual,0,1,134
1/2/2023,Goal,Visual,0,1,4
1/2/2023,Streak,Visual,0,3,19
1/2/2023,Collection,Visual,0,0,74
1/2/2023,Course Certificate,Visual,0,15,58
1/3/2023,Text Post,Text Post,1,1,1
1/3/2023,Level,Visual,0,6,136
1/3/2023,Streak,Visual,0,3,15
1/3/2023,Collection,Visual,0,0,79
1/3/2023,Course Certificate,Visual,0,11,36
1/4/2023,Text Post,Text Post,1,3,3
1/4/2023,Level,Visual,0,3,136
1/4/2023,Streak,Visual,0,4,18
1/4/2023,Collection,Visual,0,1,61
1/4/2023,Course Certificate,Visual,3,17,59
1/5/2023,Text Post,Text Post,1,2,2
1/5/2023,Level,Visual,2,9,136
1/5/2023,Streak,Visual,0,4,31
1/5/2023,Collection,Visual,0,6,69
1/5/2023,Course Certificate,Visual,0,6,53
1/6/2023,Level,Visual,1,3,137
1/6/2023,Streak,Visual,0,4,28
1/6/2023,Collection,Visual,0,0,57
1/6/2023,Course Certificate,Visual,1,9,52
1/7/2023,Level,Visual,0,1,102
1/7/2023,Goal,Visual,0,2,3
1/7/2023,Streak,Visual,0,7,39
1/7/2023,Collection,Visual,0,2,56
1/7/2023,Course Certificate,Visual,1,7,35
1/7/2023,Career Track Certificate,Visual,1,1,2
1/8/2023,Level,Visual,1,4,147
1/8/2023,Goal,Visual,0,32,62
1/8/2023,Streak,Visual,0,6,29
1/8/2023,Collection,Visual,0,2,55
1/8/2023,Course Certificate,Visual,0,11,79
1/9/2023,Text Post,Text Post,1,1,1
1/9/2023,Level,Visual,0,2,116
1/9/2023,Goal,Visual,0,0,2
1/9/2023,Streak,Visual,0,5,28
1/9/2023,Collection,Visual,1,5,79
1/9/2023,Course Certificate,Visual,2,9,47
1/9/2023,Career Track Certificate,Visual,1,1,1
1/10/2023,Text Post,Text Post,2,2,2
1/10/2023,Level,Visual,0,0,135
1/10/2023,Streak,Visual,0,7,28
1/10/2023,Collection,Visual,0,1,60
1/10/2023,Course Certificate,Visual,0,8,44
1/10/2023,Career Track Certificate,Visual,1,1,2
1/11/2023,Text Post,Text Post,3,3,3
1/11/2023,Level,Visual,2,4,135
1/11/2023,Streak,Visual,1,4,24
1/11/2023,Collection,Visual,0,2,62
1/11/2023,Course Certificate,Visual,0,11,49
1/11/2023,Career Track Certificate,Visual,0,0,1
1/12/2023,Level,Visual,0,3,127
1/12/2023,Streak,Visual,0,7,26
1/12/2023,Collection,Visual,0,2,59
1/12/2023,Course Certificate,Visual,1,13,46
1/13/2023,Text Post,Text Post,2,2,2
1/13/2023,Level,Visual,0,6,127
1/13/2023,Streak,Visual,0,5,42
1/13/2023,Collection,Visual,0,3,49
1/13/2023,Course Certificate,Visual,0,18,54
1/14/2023,Text Post,Text Post,1,1,1
1/14/2023,Level,Visual,0,11,108
1/14/2023,Goal,Visual,0,3,5
1/14/2023,Streak,Visual,0,10,36
1/14/2023,Collection,Visual,0,1,26
1/14/2023,Course Certificate,Visual,0,35,77
1/14/2023,Career Track Certificate,Visual,0,3,4
1/15/2023,Text Post,Text Post,1,2,2
1/15/2023,Level,Visual,0,3,133
1/15/2023,Goal,Visual,0,35,73
1/15/2023,Streak,Visual,0,7,29
1/15/2023,Collection,Visual,0,0,52
1/15/2023,Course Certificate,Visual,1,9,66
